Unnamed: 0,word1,word2,class
79,puRkara,nAmake,1
80,sarva,vikArAn,3
81,waw,muKAw,3
82,ni,yuFjyAH,3
83,bala,parAkramaH,1
84,xvi,Sawam,3
85,yuxXa,viSAraxAH,3
86,sa,niSvAsam,1
87,sax,vqwwEH,1
88,svarga,upamam,1
89,prasruwa,woyaM,1
90,an,anwaM,1
91,na,ukwam,3
92,vAsa,yogyam,3
93,na,sAmarWyam,3
94,an,qjuH,3
95,xevawA,aBimuKaH,1
96,an,AwurAM,3
97,xIpwa,agneH,3
98,jFAna,niScayaH,3
99,lupwa,XErya,1
100,parama,qRiNA,3
101,aXaH,Sirasa,1
102,pra,kampawe,3
103,praxakRiNa,purassaram,3
104,asmaw,apekRayA,3
105,jiwa,klamaH,1
106,Sriya,upapannaH,3
107,nir,AlambanaH,1
108,BUri,klinna,3
109,go,vqRaH,3
110,Bojana,AxiH,1
111,nir,praBAvA,1
112,avinXya,vAriwaH,3
113,ISa,AxyAn,1
114,prAsAxa,AxIn,1
115,cawuH,xvAraM,1
116,pra,mawwaM,3
117,para,saMSrayAw,3
118,sa,Jampam,1
119,maha,qRiNA,3
120,XannA,nAma,1
121,nirvqwwa,aBiRekam,1
122,kROra,karmiNA,3
123,cawuR,paxI,1
124,java,uparoXaH,3
125,vikaca,vaxanA,1
126,vispaRta,lakRaNA,1
127,veNu,nAxaH,3
128,mahaw,hanuH,3
129,hqwa,svAH,1
130,cirakAla,pAliwam,3
131,Buja,xaNdEH,3
132,puswaka,AxInAm,1
133,wUla,Bariwam,3
134,su,gamBIrAM,3
135,wri,xaNdI,1
136,ugra,cApam,1
137,viMSawi,kroSAn,3
138,sa,lajjam,1
139,a,vraNO,1
140,pqWivi,inxra,3
141,vAma,afgulyAm,3
142,vi,rAgI,3
143,pra,lalAtAH,1
144,bahu,viXAH,1
145,na,mAyayA,3
146,SAnwa,amarRam,1
147,viRAxa,vimuKaH,3
148,kqRNa,aXamAm,1
149,nir,rogam,1
150,anvarWa,nAmA,1
151,sa,Xanam,1
152,viKyAwa,vIryasya,1
153,yaWA,arWa,0
154,yaWA,viBAgena,0
155,yukwa,leKawA,1
156,Bakwi,ciwrasya,3
157,vIwa,rAgeNa,1
158,paraM,wapaH,1
159,na,nirIkRiwawayA,3
160,sam,avApya,3
161,hawa,bAnXavAH,1
162,puruRa,rUpaH,1
163,gala,pAkaH,3
164,pari,spqRtaH,3
165,wapaH,XanaH,1
166,sama,akRam,0
167,upa,inXanaH,3
168,sneha,vimarxanAw,3
169,brahma,sameByaH,3
170,upacAra,pUrvakam,1
171,BAva,upapannawA,3
172,su,sAXyam,3
173,nir,voDum,3
174,wapas,mUlaM,1
175,Cinna,xruma,3
176,caru,xvayaM,3
177,a,sWAne,3
178,nava,yuvakE,3
179,uwpanna,wyAginaH,3
180,sahasra,bAhu,3
181,su,xaMRtraM,1
182,a,xviwIyAH,1
183,maXye,Bavanam,0
184,harRa,ullAsa,2
185,priya,maNdanA,1
186,xur,hqxaH,1
187,viMSawi,varRAH,1
188,maha,qRe,3
189,uxyawa,xaNdasya,1
190,xvaMxvq,ArAmeRu,1
191,vaniwA,vigrahaH,1
192,sa,viXi,1
193,waw,parasya,1
194,praWama,xivasAw,3
195,uxa,manWaM,3
196,mahaw,AxareNa,3
197,yaWA,sWAnaM,0
198,a,sAXuvaw,3
199,rOxra,karmA,1
200,rakRA,sahAyAH,1
201,kamala,AkAram,1
202,saw,SIla,3
203,sawwva,guNaH,3
204,acCa,upasevayA,3
205,sa,SiRyeNa,1
206,na,SlAGyam,3
207,grahaNI,gawAH,3
208,paFca,rawO,1
209,rAma,sahiwaH,3
210,nir,arWa,1
211,jFAna,agniH,3
212,Xarma,parAyaNAH,1
213,sakwa,sAyakam,1
214,xevakula,XUmena,3
215,na,sAXye,3
216,hiwa,kAmena,1
217,xuRta,sevikA,3
218,a,CalAm,1
219,Xarma,anuSAsanam,3
220,janiwa,prakopaH,1
221,cara,acaram,2
222,brahma,BUwaH,3
223,xvi,jAwiByaH,1
224,aXika,aXikam,3
225,sam,preRiwA,3
226,eka,puwraH,1
227,pUrNa,bimbam,1
228,saw,kqwEH,1
229,saMmawi,lakRaNam,3
230,ni,swabXam,3
231,vijiwa,AwmA,1
232,ari,safGAH,3
233,kRINa,koSaH,1
234,laGu,grAme,3
235,parvawa,pqRTam,3
236,sa,rakwaM,1
237,Svewa,vAhe,3
238,yaWA,sAXyam,0
239,sva,sevakAn,3
240,bahu,xakRiNEH,1
241,grahaNa,samarWam,3
242,lABa,alABO,2
243,sarva,kAryeRu,3
244,xuRta,AwmAna,3
245,yajFa,maNdalam,3
246,upa,Ayukwasya,3
247,vi,XanuRaH,1
248,Xavala,canxraH,3
249,samAroha,pUrvakam,1
250,aBijana,saMpannAH,3
251,vipra,kqwAH,3
252,praWama,vyavasAyI,3
253,lOha,argalAm,3
254,kalaha,priyAm,1
255,na,upasWiwAyAm,3
256,xuRta,AwmA,1
257,su,muKaH,1
258,canxra,vakwram,1
259,xur,AwmAnaH,1
260,a,prawimaM,1
261,sa,balAhakaH,1
262,aSru,locana,1
263,na,nirIkRiwa,3
264,sixXa,haswaH,1
265,sa,nivarwanam,1
266,sa,Sramam,1
267,miwa,ojasA,1
268,sa,mArxavam,1
269,yaWA,xravyaM,0
270,XUwa,kalmaRAn,1
271,kqwA,AwmawuRtiH,1
272,gqha,nirmiwe,3
273,wyakwa,prANAH,1
274,pra,rUDam,3
275,xur,vyavahAraH,3
276,aviBAga,gawA,3
277,sama,buxXayaH,1
278,awi,kramya,3
279,aBi,asUyawi,0
280,Ananxa,magnaH,3
281,xurbala,inxriyEH,1
282,manasa,Ipsiwam,3
283,brahma,yoniH,1
284,sawya,loke,3
285,anna,pAnaM,2
286,nIca,xrumA,1
287,rugNa,SAKam,1
288,vigawa,saMSayA,1
289,sa,AkAram,1
290,sikKa,janAnAm,3
291,priya,AwiWyAH,1
292,kRawaja,BojanaH,1
293,prasannA,AwmA,1
294,xeha,araNiH,3
295,nagaraH,upAnwe,3
296,parama,qRiNAM,3
297,gOda,viRaye,3
298,harixAsa,mahoxayasya,3
299,vinivqwwa,kAmAH,1
300,uxvigna,hqxayaH,1
301,rakRaNa,Awmakam,1
302,Awma,mokRaNAw,3
303,vexa,niScayAH,1
304,saMnihiwa,apAyaH,1
305,sAXu,pramuKaM,3
306,vAswavika,kavInAm,3
307,kqwa,prajFaM,1
308,mAsa,xvaye,3
309,na,kRaraM,3
310,vyavasAya,AwmikA,1
311,ugra,caryam,3
312,ikRu,xaNdena,3
313,nir,ahafkAraH,1
314,saMSaya,Awmakam,1
315,karaBa,nisvanAH,1
316,a,pUrvAH,1
317,jihvA,nirleKanAni,1
318,suvarNa,varNA,1
319,siMha,ArUDaH,3
320,BUwa,upaGAwaH,3
321,vivara,pUrNam,3
322,sva,BUmO,3
323,wyakwa,upAwwAH,1
324,sAXu,veSaH,1
325,waw,avAcyam,3
326,SrAxXa,Axi,1
327,sevA,nivqwweH,3
328,prajFA,nABiH,1
329,Bava,aBavO,2
330,svara,XvaniBiH,3
331,kqwa,aparAXaH,1
332,sa,Safkiwam,1
333,a,prawikUlAn,3
334,krUra,koRTasya,1
335,hIna,avasWAm,3
336,kRuXA,pIdiwena,3
337,gqXra,xqRtiH,1
338,Bojana,Axikam,1
339,grIRma,anwAn,1
340,inxriya,arWAH,3
341,wri,bIjam,1
342,nArAyaNa,Awmakam,1
343,vqxXa,rAmanAWasya,3
344,viRama,iRuNA,1
345,Srowra,AxiBiH,1
346,prakoRTa,baxXAm,3
347,a,wiWi,1
348,parawra,arWam,3
349,Almisa,nAma,1
350,manxa,agnayaH,1
351,mahAn,raWaH,1
352,wriH,ahnaH,1
353,uwpaWa,prawipannasya,3
354,na,jAnan,3
355,yajFa,BUmim,3
356,sanwavinobA,AKyaH,1
357,SAnwa,SokaH,1
358,xaSa,aXipawayaH,3
359,saM,sWApya,3
360,asu,niBqwaH,1
361,parvawa,upamam,1
362,sa,uwkaNTaM,1
363,sva,varwmani,3
364,mUDa,yoniRu,1
365,maXya,balaM,3
366,pUrva,muxrAm,3
367,na,xviwIyam,1
368,Xarma,pare,1
369,A,hiNdanwe,3
370,su,caNdAH,3
371,vqxXa,pawim,3
372,SIwa,cCAyaH,1
373,miwa,upamam,1
374,pra,boXanasya,3
375,saMBAviwa,AwmA,1
376,apara,BAge,3
377,a,xakRe,3
378,xasyu,vaXe,3
379,sa,hqxaya,1
380,vi,kAryawAM,3
381,rawna,vyavasAyinaH,3
382,SarIra,Awmani,1
383,prahqRta,muxiwaH,3
384,yaWA,BAgam,0
385,jagaw,wAwam,3
386,mAla,AKyam,1
387,Bavaw,avawaraNena,3
388,mahaw,iRvAsaH,1
389,vepamAna,wanuH,1
390,xvi,prasqwaM,1
391,sumahaw,kAryam,0
392,awi,mAnavAH,3
393,viRNu,AxInAm,1
394,mAna,avamAnam,2
395,vixeSi,SAsakeByaH,3
396,nir,xoRAn,1
397,sa,xoRam,3
398,yaWA,sWAnam,0
399,SaraNa,AgawAyA,3
400,vigawa,rogA,1
401,mahaw,vIryaH,1
402,ava,sWiwAH,3
403,kalpanA,vilasiwam,3
404,kqwa,uxakAH,1
405,an,AkASam,1
406,na,ahaMkAra,3
407,Awma,saMyamaH,3
408,sa,arWakAni,3
409,campakA,aBiXAnAyAm,1
410,sWAna,BraRtAH,3
411,xvi,wrANi,1
412,waw,mUlAH,1
413,Agawa,saMBramam,1
414,BrAMnwa,manA,1
415,niyawa,caryAM,1
416,na,kiFcanaH,1
417,sawya,pareNa,1
418,baxXa,haswA,1
419,Agamana,vqwwam,3
420,A,xaSamAw,0
421,manxa,buxXIn,1
422,canxramuKI,nAmikAyE,1
423,agni,AxO,1
424,vArwA,upakramam,3
425,vajra,BinnaH,3
426,SApa,vimukweH,3
427,cawur,afgulEH,3
428,sa,uxakA,1
429,Pala,AhAraH,3
430,Bakwa,janAnAm,3
431,raNa,ajire,3
432,cawur,viXam,1
433,hawA,aSe,1
434,Rat,BAgaM,3
435,nir,GqNam,1
436,kqRNa,sarpam,3
437,ni,graheNa,3
438,xvi,guNiwa,1
439,saMskqwa,CAwraH,3
440,moha,kAle,3
441,xuRta,mawiH,3
442,Asanna,warawAm,3
443,hawa,SiRtAH,3
444,vara,vixagXena,3
445,na,prAsaMgikam,3
446,viSaxa,pravqwwaH,3
447,kAma,vihAriNaH,3
448,saMkRipwa,rUpam,1
449,sa,cewanaM,1
450,na,kuwsiwe,3
451,hiwa,ahiwe,2
452,rAma,sugrIvayoH,2
453,agra,viRANAByAm,3
454,Agama,sWaH,3
455,prAyaSciwwa,viXAnena,3
456,wyakwa,upAwwaM,1
457,pravivikwa,jane,1
458,xvi,jAwiBiH,1
459,hawa,prawiBa,3
460,amara,prawimAH,1
461,wrE,vixyAnAM,1
462,pra,SAsaka,3
463,OxXawya,pUrNam,3
464,na,caram,3
465,punarvasu,nakRawram,3
466,sa,suKaM,1
467,kqRNa,BaginI,3
468,nyaswa,karaH,1
469,xvi,guNaH,1
470,nakula,ulUkaM,2
471,hiraNyaka,nAmA,1
472,wapaH,Xana,1
473,na,prawyASiwam,3
474,sa,Ananxam,1
475,arXa,samiwAyAH,3
476,sam,AyojanIya,3
477,vakra,SikRiwAnAm,3
478,paFcan,xaSaByaH,3
479,na,kRayyam,3
480,na,prawiRTaM,1
481,waw,ugravAxinAm,3
482,mahaw,kAryeRu,3
483,ava,gAhya,3
484,sa,lAvaNyam,1
485,na,icCan,3
486,maraNa,anwaM,1
487,a,uwwamAm,1
488,gO,SAlAyAm,3
489,kqwa,uxyamaH,1
490,sawya,paraH,3
491,sa,AvaraNam,1
492,akRayya,sAyakAn,3
493,vEra,agniH,3
494,Xarma,praXAnena,1
495,UrXva,SiKaH,3
496,hema,viBURiwAH,3
497,aBinanxana,arWam,3
498,niyama,anusAram,3
499,bali,paSUn,3
500,sa,cewanawAm,1
501,an,uwwamam,1
502,vyakwa,AwmakaM,1
503,sa,ciwram,1
504,sva,caFcvA,3
505,na,kiFciwkarI,3
506,baka,BakwaH,3
507,Alepana,arWe,3
508,jiwa,inxriyam,1
509,eka,rasyam,3
510,ajA,suwam,3
511,wrixiva,saxmanAm,1
512,wIkRNa,agram,1
513,iwi,Axaya,1
514,cala,acalam,2
515,hqxaya,anugawA,3
516,Cinna,nAsikAm,1
517,na,BAginI,3
518,bAhya,Adambarasya,3
519,waw,kqwam,3
520,naRta,AwapaH,1
521,kqwwa,haswaH,1
522,suKiwa,xuHKiwAH,2
523,mqxu,pUrvaM,3
524,A,sWAya,3
525,saw,vqwwasya,3
526,huwa,agnayaH,1
527,saha,uxarO,1
528,ABAra,praxarSanam,3
529,kumuxa,AxyAH,1
530,cawur,akRareRu,3
531,wanwra,AxIni,1
532,sa,puwraH,1
533,xuR,kqwIn,3
534,sa,Awafkam,1
535,anila,vegam,1
536,su,gawiM,3
537,laGu,AkAram,3
538,SApa,mukwaH,3
539,kqwa,AwmaBiH,1
540,paxArWa,anAnwara,3
541,su,spaRtam,3
542,SEla,woraNam,1
543,labXa,vixya,1
544,moha,vaSaM,3
545,maha,uwsAhaH,1
546,sa,nAWA,1
547,praBUwa,mawsye,1
548,maXya,xeSIyaH,3
549,xur,mawiM,1
550,vinipAwa,anwA,1
551,iRur,lipwaH,3
552,na,anyena,1
553,wax,karwanam,3
554,vi,kiran,3
555,sarva,lokAn,3
556,jala,rUpam,1
557,a,xoREH,1
558,SAnwi,pUrvakam,1
559,a,jFAnam,3
560,upa,cacAra,3
561,xina,maNi,3
562,na,wvariwam,3
563,gupwA,AwmA,1
564,loBa,kUlAM,1
565,na,icCanwam,3
566,sa,SafkiwA,1
567,sa,SaraBAH,1
568,pra,sakwasya,3
569,sa,huMkAram,1
570,sa,balam,1
571,A,cUdAnwam,0
572,sa,jalA,1
573,sa,vanAH,1
574,nis,sAriwam,3
575,snigXa,uRNaM,2
576,sam,upaviRtA,3
577,laGu,nagaryAm,3
578,vaswra,XAraNam,3
579,niH,AwmA,1
580,gawa,sAra,1
581,prApwa,kAlasya,1
582,na,pravqwwiH,1
583,A,KyAwaM,3
584,awi,balEH,1
585,aswra,japwena,3
586,xama,yajFAH,1
587,awi,ciram,3
588,sawwva,jijFAsAM,1
589,avinIwa,manuRyaM,1
590,aXaH,muKI,1
591,vyakwa,saMjFakaH,1
592,BAva,ASriwaH,3
593,waru,kotarAw,3
594,pafka,magnAnAm,3
595,niwya,apakAriRu,1
596,sa,XEryam,1
597,vqka,uxaraH,1
598,su,saMwuRtA,3
599,kopa,jvaliwAm,3
600,pIwa,vaswravaw,3
601,Agawa,vijFAnA,1
602,Kinna,manaskA,1
603,sarva,suKasya,3
604,xur,BikRam,3
605,xivya,puruRAya,3
606,praNAma,Axi,1
607,newra,viRayIkqwya,3
608,vanya,jIvAnAM,3
609,sa,pawnI,1
610,koti,aXipawiH,3
611,vexa,AwmA,1
612,prawyAgawa,prANA,1
613,nir,apekRa,1
614,xeva,Awmake,1
615,na,nyUnam,3
616,xivya,siMha,3
617,mahaw,nAgam,3
618,mahA,PalaH,1
619,nara,SArxUla,3
620,xaXi,priyaH,1
621,na,viSvAsasya,3
622,brahma,varjiwaH,1
623,nAnA,rUpAn,1
624,sa,afgAH,1
625,sawya,AwmA,1
626,sakwa,Awma,1
627,Xarma,mUrwyA,1
628,sa,karNAHn,1
629,afga,colakena,3
630,pafkwi,cinwane,3
631,na,wiWinA,1
632,prasanna,upaciwaM,2
633,sOmya,vapuH,1
634,sammArjana,parAH,1
635,BIma,vikramaH,1
636,laliwa,wripuNdra,3
637,a,XanaH,1
638,xeva,sanniXO,3
639,na,SASvawam,3
640,Sabxa,wanmAwre,3
641,wIkRNa,xaMRtraH,1
642,kRawa,afgena,3
643,guhA,muKAw,3
644,awi,prasannam,3
645,SOrya,pUrNAm,3
646,aXyApaka,paxam,3
647,BrAnwi,cewasam,3
648,xqDa,saMBARaH,1
649,maXyama,puwrasya,3
650,sawya,niwyaH,1
651,afgerikA,haswA,1
652,na,yaWAvaw,3
653,gala,pASaM,3
654,na,xqSya,3
655,a,viparIwAnAM,3
656,jiwa,haswAH,1
657,xvAra,niroXena,3
658,uxxaNda,svaBAvAH,1
659,waw,sOnxaryam,3
660,su,vicArya,3
661,eka,arNavAM,1
662,SAraxvawa,AxayaH,1
663,bANa,gocare,3
664,arvAk,srowasAm,1
665,awisaMkRepa,viswaraH,3
666,an,alpam,3
667,brahma,ujJaH,1
668,prIwa,manAH,1
669,hawa,sEnyaH,1
670,sam,upalAliwA,3
671,Xarma,SIlAnAM,1
672,viSva,Awmane,3
673,kRINa,inxriyaM,1
674,mahA,ipsavaH,1
675,kRawi,mUlyaM,3
676,swamBa,AkAraH,3
677,na,karmaNi,3
678,evam,viXe,1
679,xakRiNa,uwware,2
680,xakRiNa,uwwarawaH,2
681,nija,karAByAm,3
682,nixrA,anviwaH,3
683,mahaw,uxayaH,1
684,su,SIlA,1
685,eka,agram,1
686,sa,kalakalam,1
687,Sakran,purogamAn,1
688,kAnwi,yukwam,3
689,gawa,AsavaH,1
690,naRta,AwmAnaH,1
691,su,manwriwam,3
692,a,xaNdyA,3
693,Kexa,miSriwena,3
694,xawwa,anulepanAm,1
695,kAma,grAheNa,1
696,sarva,saMpaxaH,3
697,campA,aBiXAm,1
698,BAskarAcArya,aBiXa,1
699,nir,XanO,1
700,yaWA,SIGram,0
701,kamala,Alaye,1
702,sa,puRpAyAm,1
703,karNa,pASa,3
704,sam,uwpanna,3
705,sa,vAsaH,1
706,sa,kuSalaH,1
707,varNana,awIwA,3
708,hIna,jIvanam,3
709,yAjana,aXyApanAw,2
710,muni,BAryA,3
711,karaFjabIja,edagajaM,2
712,parama,xyuwiH,1
713,kqwa,vixyAH,1
714,sva,yUWyeRu,3
715,rawna,XAraNe,3
716,sam,upAgamaw,3
717,praSna,aRtakena,3
718,mahenxra,AxyAH,1
719,wri,xaSAnAm,1
720,puNdarIka,akRan,1
721,URma,BAvaH,3
722,Gora,AkArA,1
723,sparSa,mAwreNa,3
724,sa,camawkqwi,1
725,SiraH,snAwam,1
726,xIpwa,yaSasAM,1
727,kqwa,uxyamasya,1
728,ArakRi,viBAge,3
729,sa,Saswram,1
730,prawi,rUpakEH,3
731,ekaw,CawrAM,1
732,mahA,bAhuM,1
733,na,paviwram,3
734,pIna,vakRAH,1
735,paFca,BUwAwmake,1
736,pra,calanwi,3
737,eka,para,1
738,rAkeSa,nAmA,1
739,a,sahAyena,1
740,upahawa,AwmanaH,1
741,na,AxiwvAw,1
742,anwapura,aBimuKam,3
743,SOrasenI,mAwaH,1
744,nir,rasam,1
745,xuRta,cewasA,3
746,parama,AwmanaH,3
747,sa,varuNAH,1
748,komala,afgI,1
749,anu,BARya,3
750,a,hiwA,1
751,niR,prANaH,1
752,karmma,AKyam,1
753,na,nikewaH,1
754,mahA,vIrye,1
755,rela,yAnena,3
756,Bavaw,kAraNawaH,3
757,asmaw,viXAnAm,3
758,niH,SeRawAM,1
759,wrEguNya,viRayAH,1
760,ramBA,AxInAm,1
761,bahu,rUpasya,1
762,grAmi,kqwyaM,3
763,kqwa,ASrayaH,1
764,ni,pawiwaH,3
765,sa,SarIrAH,1
766,sarva,aparAXeRu,3
767,arGya,Axi,1
768,nir,aparAXAnAm,1
769,ganXa,wanmAwram,3
770,eka,mAsaH,3
771,guNa,anviwAH,3
772,sa,amlA,1
773,kqwa,upahAram,1
774,upaBogya,vaswUnAM,3
775,pra,gawiH,3
776,bahu,samayaH,3
777,wyakwa,AhArAH,1
778,rAjya,aXikArin,3
779,vi,rUpANAM,1
780,xuH,jAwaH,3
781,sarva,vyApakaH,3
782,sarva,nASanAya,3
783,a,niXanam,1
784,bIBawsa,lakRaNam,1
785,haraxeva,gqham,3
786,lakRya,kruXam,1
787,uxyoga,para,3
788,wikwaka,upahiwAni,3
789,amqwa,arWam,3
790,a,sakwena,3
791,mqxu,koRTAH,1
792,na,xqRtam,3
793,sahAnuBUwi,pUrNayA,3
794,rakRiwa,AwmA,1
795,xawwa,avaXAnena,1
796,amiwa,wejasA,1
797,niwya,wanuH,1
798,sa,SAli,1
799,vi,lakRaNam,3
800,wakra,sixXA,3
801,praWama,wale,3
802,paFca,wrikA,1
803,kuSala,XarmAH,1
804,su,laBAH,3
805,ni,kqwaM,3
806,Xarma,niScaye,3
807,pafka,xigXAH,3
808,sawyaBAmA,saKIBiH,3
809,waw,anumAnam,3
810,Kadga,sahAyaH,1
811,vakRa,sWalAni,3
812,aBinIwa,arWam,1
813,manxa,AwmA,3
814,sa,RodaSEH,1
815,waw,xarSanAw,3
816,svEra,AsanaH,1
817,yaWA,kAmaM,0
818,a,meXyAw,3
819,paxAwi,bahulA,1
820,sa,bARpe,1
821,uRNa,uxakaM,3
822,Sakra,pramuKEH,1
823,Siwa,XArEH,1
824,nir,XanaM,1
825,pra,vAxinaH,3
826,hrasva,afgaH,1
827,sa,vasavaH,1
828,nUwana,vaswrANi,3
829,prawi,Palan,3
830,mqxu,maXurAH,3
831,vi,manA,1
832,vipula,aMsaH,1
833,Gotaka,yAnena,3
834,UrXva,rewasAm,1
835,XqRta,keSA,1
836,avApwa,kAmaH,1
837,varuNa,AxeH,1
838,sa,uxaram,1
839,paFca,BOwike,3
840,wava,sOnxaryaM,3
841,nava,SikRiwA,3
842,pra,kRipwam,3
843,sa,vqnwam,1
844,xqRti,praNaRtAnAM,1
845,jagaxxeva,nAmAnam,1
846,sva,SirasoH,3
847,an,ApwAH,3
848,nAnA,karmasu,3
849,parAkrama,SIlaH,1
850,vixvas,varyEH,3
851,niyawa,inxriyAH,1
852,pra,kRubXam,3
853,a,vixyamAnamiwraM,1
854,vi,jFAwaH,3
855,a,xakRiNam,1
856,pra,hasan,3
857,xqDa,vrawam,1
858,na,Sakya,3
859,nir,AbAXA,1
860,prayawa,AwmanaH,1
861,vara,varNinIm,1
862,aXi,xEvaM,0
863,xqRta,mAwram,3
864,sa,wikwakam,1
865,niyawa,AwmA,1
866,gawa,vyaWAH,1
867,aRtan,uwwaram,1
868,an,aGaH,1
869,brahma,swenAH,1
870,snehana,bqMhaNI,3
871,senA,paweH,3
872,sa,xAraH,1
873,na,sAXAraNAH,3
874,vyAyAma,uxvarwanaM,2
875,Xana,sampAxane,3
876,sahasra,akRa,1
877,saMxqRta,SOryO,1
878,nagara,sWEH,3
879,Bojya,aBojyaM,2
880,kAla,AkqRtaH,3
881,xvanxva,mohena,3
882,wuRA,agniH,3
883,vIwa,rAgaH,1
884,upakArya,AxIn,1
885,su,gupwAni,3
886,su,karaH,3
887,puRpa,aFjalim,3
888,jiwa,AwmanaH,1
889,hema,varNaM,1
890,xEva,kqwaH,3
891,prANAyAma,parAyaNAH,1
892,upa,jIvawA,3
893,kroXa,AviRtaH,3
894,BUmi,hInAnAm,3
895,uxIrNa,piwwA,1
896,kARTa,ApaNam,3
897,qRi,coxiwam,3
898,rakRiwa,manwraH,1
899,su,SirAH,1
900,bala,anviwAH,3
901,kARAya,vasanAH,1
902,na,sahAya,3
903,saM,wApiwAH,3
904,a,hiwAni,3
905,BAva,svaBAvaH,3
906,a,sAMprawam,3
907,nava,nirmiweRu,3
908,urvaSI,AxayaH,1
909,na,vaXyAm,3
910,samaya,nASasya,3
911,xvi,vAram,3
912,nir,makRikam,0
913,wri,cakRuH,1
914,na,mUDAH,3
915,puNya,Awman,1
916,sixXi,upAyAH,3
917,prAwar,kAlam,3
918,xawwa,ciwwAyA,1
919,Bqkuti,BIRaNam,1
920,ava,lipwAH,3
921,sarva,lakRma,1
922,Ayawa,IkRaNA,1
923,asmaw,prArWiwaH,3
924,bahva,pawyA,1
925,sanXyA,aruNA,3
926,aSIwi,prAyA,3
927,xuHKa,Alaya,3
928,ARADa,AxO,1
929,nir,janam,1
930,SIwa,uRNam,3
931,na,sahajam,3
932,su,sWirA,3
933,paFca,janAnAm,3
934,su,vijFAwam,3
935,BUwa,grAmaH,3
936,kroXa,AviRta,3
937,sanwawi,rahiwaH,3
938,kRINa,rAgam,1
939,ava,ruxXaH,3
940,xEva,saMjFakam,1
941,Xarma,AkrAnwasya,3
942,vixyA,vqxXopasevayA,3
943,vipra,AxyEH,1
944,mahaw,anuBAvaH,1
945,sa,upasargAm,1
946,xuH,warAm,3
947,sa,saMramBam,1
948,SleRma,sifGANakaM,2
949,mahaw,vikramaH,1
950,rAkRasa,inxrasya,3
951,paxma,mAlinI,1
952,eka,kAlam,3
953,gADa,anurAgaH,3
954,alpa,cewasaH,1
955,xuRta,mawe,1
956,mahaw,javaH,1
957,gupwa,rUpeNa,3
958,aXaH,muKAH,1
959,vipaNi,sWiwe,3
960,sa,vinayaM,1
961,na,safgawaH,3
962,capaNduka,AKyA,1
963,pqWu,grIvAH,1
964,Xarma,niwyaH,3
965,svawanwra,spqhA,1
966,xraRtu,kRamaH,1
967,BUwa,AwmAnaM,1
968,sa,vixyuwam,1
969,sa,xAraM,1
970,Sabxa,brahmA,3
971,saxyaH,Xiyam,1
972,yaWA,gawaH,0
973,wrE,vixyeRu,1
974,vana,xAhasya,3
975,wyakwa,Xarmasya,1
976,pravacana,patuH,3
977,anaMwa,mUrXA,3
978,nAmaXeya,anurUpasya,1
979,mahA,manAH,1
980,a,niwyawA,3
981,xaNda,saMjFiwaH,1
982,na,vyakwAw,3
983,an,upaxiRtaM,3
984,upAya,XarmAn,3
985,saMSoXana,guNAH,3
986,a,rocakam,3
987,sAyam,kAla,3
